date;time;title;full_price;reduced;free;total
14/09/2019;20:30;Il Re Leone;83;101;0;184
15/09/2019;17:00;Il Re Leone;53;67;1;121
15/09/2019;20:30;Il Re Leone;35;22;0;57
22/09/2019;17:00;Il Re Leone;114;127;13;254
28/09/2019;20:30;IT - Capitolo 2;75;123;0;198
29/09/2019;17:00;Angry Birds 2;15;40;0;55
05/10/2019;17:00;Angry Birds 2;14;43;1;58
05/10/2019;20:30;C'era una volta a… Hollywood;31;22;0;53
06/10/2019;17:00;Angry Birds 2;15;25;0;40
06/10/2019;20:30;C'era una volta a… Hollywood;22;17;0;39
09/10/2019;20:30;The Rider;27;12;0;39
12/10/2019;17:00;Dora e la Città Perduta;15;30;1;46
12/10/2019;20:30;Yesterday;21;19;0;40
13/10/2019;17:00;Dora e la Città Perduta;13;29;0;42
13/10/2019;20:30;Yesterday;8;7;0;15
16/10/2019;20:30;Edison;13;12;1;26
19/10/2019;20:30;Joker;74;39;1;114
20/10/2019;20:30;Joker;84;28;0;112
23/10/2019;20:30;Mio Fratello Rincorre i Dinosauri;56;17;0;73
26/10/2019;20:30;Maleficent 2;56;93;1;150
27/10/2019;15:00;Maleficent 2;18;18;3;39
27/10/2019;17:30;Maleficent 2;28;50;1;79
29/10/2019;20:30;IT - Capitolo 2;40;24;0;64
30/10/2019;20:30;Il Bambino è il Maestro;36;14;3;53
01/11/2019;20:30;Joker;108;28;0;136
02/11/2019;20:30;La Famiglia Addams;60;82;0;142
03/11/2019;15:00;La Famiglia Addams;65;97;3;165
03/11/2019;17:30;La Famiglia Addams;63;88;2;153
06/11/2019;20:30;Ad Astra;20;7;0;27
09/11/2019;20:30;Downton Abbey;33;23;0;56
10/11/2019;17:00;Maleficent 2;35;59;0;94
10/11/2019;20:30;Downton Abbey;30;11;0;41
13/11/2019;20:30;Mathera-l'ascolto dei sassi;26;8;0;34
17/11/2019;17:00;La Famiglia Addams;19;63;2;84
20/11/2019;20:30;Cafarnao - Caos e miracoli;12;10;0;22
23/11/2019;20:30;Motherless Brooklyn;14;11;0;25
24/11/2019;20:30;Motherless Brooklyn;6;2;0;8
27/11/2019;20:30;Antropocene - l'epoca umana;40;43;0;83
30/11/2019;17:00;Ailo - un'avventura tra i ghiacci;26;50;0;76
30/11/2019;20:30;Le Mans '66;18;29;2;49
01/12/2019;17:00;Ailo - un'avventura tra i ghiacci;46;62;1;109
01/12/2019;20:30;Le Mans '66;5;8;0;13
04/12/2019;20:30;Le Verità;17;10;0;27
07/12/2019;20:30;Frozen 2;93;116;4;213
08/12/2019;15:00;Frozen 2;106;151;4;261
08/12/2019;17:30;Frozen 2;89;170;3;262
11/12/2019;20:30;La Belle Epoque ;13;6;0;19
14/12/2019;20:30;Un Giorno di Pioggia a New York;10;16;0;26
15/12/2019;17:00;Frozen 2;29;36;1;66
15/12/2019;20:30;Un Giorno di Pioggia a New York;12;12;0;24
21/12/2019;20:30;Pinocchio;51;45;3;99
22/12/2019;17:00;Frozen 2;45;68;1;114
22/12/2019;20:30;Pinocchio;71;57;4;132
23/12/2019;20:30;Last Christmas;22;32;0;54
