date,time,title,full_price,reduced,free,total,datetime,giorno_settimana,mese,anno,ora,fascia_oraria,stagione,weekend,festività,data_str,temp_max,temp_min,precip_mm,genres,keywords,cast,director,vote_average,popularity
2019-09-14,20:30,Il Re Leone,83.0,101.0,0.0,184.0,2019-09-14 20:30:00,sabato,9,2019,20,sera,autunno,True,Nessuna,2019-09-14,26.4,16.1,0.0,"['Adventure', 'Drama', 'Family', 'Animation']","['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake']","['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover']",Jon Favreau,7.109,13.0209
2019-09-15,17:00,Il Re Leone,53.0,67.0,1.0,121.0,2019-09-15 17:00:00,domenica,9,2019,17,pomeriggio,autunno,True,Nessuna,2019-09-15,26.5,17.2,0.0,"['Adventure', 'Drama', 'Family', 'Animation']","['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake']","['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover']",Jon Favreau,7.109,13.0209
2019-09-15,20:30,Il Re Leone,35.0,22.0,0.0,57.0,2019-09-15 20:30:00,domenica,9,2019,20,sera,autunno,True,Nessuna,2019-09-15,26.5,17.2,0.0,"['Adventure', 'Drama', 'Family', 'Animation']","['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake']","['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover']",Jon Favreau,7.109,13.0209
2019-09-22,17:00,Il Re Leone,114.0,127.0,13.0,254.0,2019-09-22 17:00:00,domenica,9,2019,17,pomeriggio,autunno,True,Nessuna,2019-09-22,19.2,11.5,0.5,"['Adventure', 'Drama', 'Family', 'Animation']","['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake']","['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover']",Jon Favreau,7.109,13.0209
2019-09-28,20:30,IT - Capitolo 2,75.0,123.0,0.0,198.0,2019-09-28 20:30:00,sabato,9,2019,20,sera,autunno,True,Nessuna,2019-09-28,23.2,15.2,0.8,"['Horror', 'Thriller']","['based on novel or book', 'clown', 'carnival', 'sequel', 'remake', 'maine', 'creature', 'fear', 'lgbt', 'ancient evil', 'loss of a friend']","['Bill Skarsgård', 'James McAvoy', 'Jessica Chastain']",Andy Muschietti,6.835,11.33
2019-09-29,17:00,Angry Birds 2,15.0,40.0,0.0,55.0,2019-09-29 17:00:00,domenica,9,2019,17,pomeriggio,autunno,True,Nessuna,2019-09-29,22.9,13.7,0.0,"['Family', 'Comedy', 'Adventure', 'Animation']","['island', 'rivalry', 'sequel', 'family', 'based on video game', 'animal kingdom', 'cliché']","['Jason Sudeikis', 'Josh Gad', 'Danny McBride']",Thurop Van Orman,7.072,5.9522
2019-10-05,17:00,Angry Birds 2,14.0,43.0,1.0,58.0,2019-10-05 17:00:00,sabato,10,2019,17,pomeriggio,autunno,True,Nessuna,2019-10-05,19.3,7.0,0.0,"['Family', 'Comedy', 'Adventure', 'Animation']","['island', 'rivalry', 'sequel', 'family', 'based on video game', 'animal kingdom', 'cliché']","['Jason Sudeikis', 'Josh Gad', 'Danny McBride']",Thurop Van Orman,7.072,5.9522
2019-10-05,20:30,C'era una volta a Hollywood,31.0,22.0,0.0,53.0,2019-10-05 20:30:00,sabato,10,2019,20,sera,autunno,True,Nessuna,2019-10-05,19.3,7.0,0.0,"['Comedy', 'Drama', 'Thriller']","['movie business', 'male friendship', 'cult', 'based on true story', 'celebrity', 'fame', 'hollywood', 'los angeles, california', 'historical fiction', 'buddy', 'filmmaking', 'struggling actor', 'satanic cult', 'revisionist history', 'duringcreditsstinger', 'western filmmaking', 'manson family murders', 'disturbed', '1960s', 'stunt double', 'old hollywood', 'sharon tate', 'charles manson', 'disgusted']","['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie']",Quentin Tarantino,7.427,14.7791
2019-10-06,17:00,Angry Birds 2,15.0,25.0,0.0,40.0,2019-10-06 17:00:00,domenica,10,2019,17,pomeriggio,autunno,True,Nessuna,2019-10-06,17.1,8.4,2.5,"['Family', 'Comedy', 'Adventure', 'Animation']","['island', 'rivalry', 'sequel', 'family', 'based on video game', 'animal kingdom', 'cliché']","['Jason Sudeikis', 'Josh Gad', 'Danny McBride']",Thurop Van Orman,7.072,5.9522
2019-10-06,20:30,C'era una volta a Hollywood,22.0,17.0,0.0,39.0,2019-10-06 20:30:00,domenica,10,2019,20,sera,autunno,True,Nessuna,2019-10-06,17.1,8.4,2.5,"['Comedy', 'Drama', 'Thriller']","['movie business', 'male friendship', 'cult', 'based on true story', 'celebrity', 'fame', 'hollywood', 'los angeles, california', 'historical fiction', 'buddy', 'filmmaking', 'struggling actor', 'satanic cult', 'revisionist history', 'duringcreditsstinger', 'western filmmaking', 'manson family murders', 'disturbed', '1960s', 'stunt double', 'old hollywood', 'sharon tate', 'charles manson', 'disgusted']","['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie']",Quentin Tarantino,7.427,14.7791
2019-10-09,20:30,The Rider,27.0,12.0,0.0,39.0,2019-10-09 20:30:00,mercoledì,10,2019,20,sera,autunno,False,Nessuna,2019-10-09,16.9,10.8,1.8,"['Drama', 'Western']","['rodeo', 'horseback riding', 'horse', 'riding accident', 'head injury', 'sioux', 'cowboy', 'native american reservation', 'lasso', 'hook for a hand', 'south dakota', 'disabled person']","['Brady Jandreau', 'Tim Jandreau', 'Lilly Jandreau']",Chloé Zhao,7.3,1.0561
2019-10-12,17:00,Dora e la Città Perduta,15.0,30.0,1.0,46.0,2019-10-12 17:00:00,sabato,10,2019,17,pomeriggio,autunno,True,Nessuna,2019-10-12,19.7,9.5,0.0,"['Family', 'Comedy', 'Adventure']","['peru', 'museum', 'fox', 'based on cartoon', 'jungle', 'lost city', 'quicksand', 'monkey', 'lost civilization', 'teenage protagonist', 'based on tv series', 'live action']","['Isabela Merced', 'Jeffrey Wahlberg', 'Madeleine Madden']",James Bobin,6.645,10.4396
2019-10-12,20:30,Yesterday,21.0,19.0,0.0,40.0,2019-10-12 20:30:00,sabato,10,2019,20,sera,autunno,True,Nessuna,2019-10-12,19.7,9.5,0.0,"['Comedy', 'Fantasy', 'Music', 'Romance']","['musician', 'pop singer', 'liverpool, england', 'music festival', 'united kingdom', 'rock concert', 'alternative reality', 'moral dilemma', 'thoughtful', 'dramatic', 'cheerful']","['Himesh Patel', 'Lily James', 'Sophia Di Martino']",Danny Boyle,6.693,4.2201
2019-10-13,17:00,Dora e la Città Perduta,13.0,29.0,0.0,42.0,2019-10-13 17:00:00,domenica,10,2019,17,pomeriggio,autunno,True,Nessuna,2019-10-13,20.9,10.9,0.0,"['Family', 'Comedy', 'Adventure']","['peru', 'museum', 'fox', 'based on cartoon', 'jungle', 'lost city', 'quicksand', 'monkey', 'lost civilization', 'teenage protagonist', 'based on tv series', 'live action']","['Isabela Merced', 'Jeffrey Wahlberg', 'Madeleine Madden']",James Bobin,6.645,10.4396
