date;time;title;full_price;reduced;free;total;datetime;giorno_settimana;mese;anno;ora;fascia_oraria;stagione;weekend;festività;date_str;temp_max;temp_min;precip_mm;genres;keywords;cast;director;vote_average;popularity
14/09/2019;20:30;Il Re Leone;83;101;0;184;14/09/2019 20:30;sabato;9;2019;20;sera;autunno;TRUE;Nessuna;14/09/2019;26.4;16.1;0;['Adventure', 'Drama', 'Family', 'Animation'];['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake'];['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover'];Jon Favreau;7.109;10.7158
15/09/2019;17:00;Il Re Leone;53;67;1;121;15/09/2019 17:00;domenica;9;2019;17;pomeriggio;autunno;TRUE;Nessuna;15/09/2019;26.5;17.2;0;['Adventure', 'Drama', 'Family', 'Animation'];['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake'];['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover'];Jon Favreau;7.109;10.7158
15/09/2019;20:30;Il Re Leone;35;22;0;57;15/09/2019 20:30;domenica;9;2019;20;sera;autunno;TRUE;Nessuna;15/09/2019;26.5;17.2;0;['Adventure', 'Drama', 'Family', 'Animation'];['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake'];['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover'];Jon Favreau;7.109;10.7158
22/09/2019;17:00;Il Re Leone;114;127;13;254;22/09/2019 17:00;domenica;9;2019;17;pomeriggio;autunno;TRUE;Nessuna;22/09/2019;19.2;11.5;0.5;['Adventure', 'Drama', 'Family', 'Animation'];['africa', 'lion', 'prince', 'redemption', 'musical', 'uncle', 'remake', 'grief', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake'];['Chiwetel Ejiofor', 'John Oliver', 'Donald Glover'];Jon Favreau;7.109;10.7158
28/09/2019;20:30;IT - Capitolo 2;75;123;0;198;28/09/2019 20:30;sabato;9;2019;20;sera;autunno;TRUE;Nessuna;28/09/2019;23.2;15.2;0.8;['Horror', 'Thriller'];['based on novel or book', 'clown', 'carnival', 'sequel', 'remake', 'maine', 'creature', 'fear', 'lgbt', 'ancient evil', 'loss of a friend'];['Bill Skarsgård', 'James McAvoy', 'Jessica Chastain'];Andy Muschietti;6.836;10.1149
29/09/2019;17:00;Angry Birds 2;15;40;0;55;29/09/2019 17:00;domenica;9;2019;17;pomeriggio;autunno;TRUE;Nessuna;29/09/2019;22.9;13.7;0;['Family', 'Comedy', 'Adventure', 'Animation'];['island', 'rivalry', 'sequel', 'family', 'based on video game', 'animal kingdom', 'cliché'];['Jason Sudeikis', 'Josh Gad', 'Danny McBride'];Thurop Van Orman;7.072;4.5672
05/10/2019;17:00;Angry Birds 2;14;43;1;58;05/10/2019 17:00;sabato;10;2019;17;pomeriggio;autunno;TRUE;Nessuna;05/10/2019;19.3;7;0;['Family', 'Comedy', 'Adventure', 'Animation'];['island', 'rivalry', 'sequel', 'family', 'based on video game', 'animal kingdom', 'cliché'];['Jason Sudeikis', 'Josh Gad', 'Danny McBride'];Thurop Van Orman;7.072;4.5672
05/10/2019;20:30;C'era una volta a Hollywood;31;22;0;53;05/10/2019 20:30;sabato;10;2019;20;sera;autunno;TRUE;Nessuna;05/10/2019;19.3;7;0;['Comedy', 'Drama', 'Thriller'];['movie business', 'male friendship', 'cult', 'based on true story', 'celebrity', 'fame', 'hollywood', 'los angeles, california', 'historical fiction', 'buddy', 'filmmaking', 'struggling actor', 'satanic cult', 'revisionist history', 'duringcreditsstinger', 'western filmmaking', 'manson family murders', 'disturbed', '1960s', 'stunt double', 'old hollywood', 'sharon tate', 'charles manson', 'disgusted'];['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie'];Quentin Tarantino;7.427;13.5841
06/10/2019;17:00;Angry Birds 2;15;25;0;40;06/10/2019 17:00;domenica;10;2019;17;pomeriggio;autunno;TRUE;Nessuna;06/10/2019;17.1;8.4;2.5;['Family', 'Comedy', 'Adventure', 'Animation'];['island', 'rivalry', 'sequel', 'family', 'based on video game', 'animal kingdom', 'cliché'];['Jason Sudeikis', 'Josh Gad', 'Danny McBride'];Thurop Van Orman;7.072;4.5672
06/10/2019;20:30;C'era una volta a Hollywood;22;17;0;39;06/10/2019 20:30;domenica;10;2019;20;sera;autunno;TRUE;Nessuna;06/10/2019;17.1;8.4;2.5;['Comedy', 'Drama', 'Thriller'];['movie business', 'male friendship', 'cult', 'based on true story', 'celebrity', 'fame', 'hollywood', 'los angeles, california', 'historical fiction', 'buddy', 'filmmaking', 'struggling actor', 'satanic cult', 'revisionist history', 'duringcreditsstinger', 'western filmmaking', 'manson family murders', 'disturbed', '1960s', 'stunt double', 'old hollywood', 'sharon tate', 'charles manson', 'disgusted'];['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie'];Quentin Tarantino;7.427;13.5841
